	Alv_Gen_Intermediate_Ctrl	Alv_Cap_Ctrl	Gen_Cap_Ctrl	Activated_Alv_Cap_Ctrl	Activated_Gen_Cap_Ctrl	Gen_Cap_LPS	Alv_Gen_Intermediate_LPS	Alv_Cap_LPS	Activated_Gen_Cap_LPS	Activated_Alv_Cap_LPS	Alv_Cap_Combo	Activated_Alv_Cap_Combo	Gen_Cap_Combo	Activated_Gen_Cap_Combo	Alv_Gen_Intermediate_Combo
ENSMMUG00000031115	4.729	4.2245	5.4131	3.2801	4.8863	4.3978	3.9191	3.4652	5.2916	4.0602	3.2273	3.4977	5.52	5.6773	4.0362
CLDND1	4.8288	4.6964	4.5913	4.8891	4.4874	4.6525	5.3619	4.7803	4.9613	5.0711	4.6556	4.4919	4.7082	5.0709	4.7872
ST3GAL6	2.9928	1.8412	3.4857	2.58	4.4874	2.5569	1.9357	1.4989	1.3373	1.527	1.3795	1.7751	2.4677	2.8623	1.7374
DCBLD2	2.9928	2.9954	3.4063	2.2432	3.0257	2.6842	2.96	2.8859	1.8765	2.4305	2.6232	3.0475	2.7711	1.8109	2.9138
C3orf26	0.7073	1.0238	1.8878	2.2432	3.9343	1.5358	1.7051	2.218	1.3373	1.527	1.6488	0.38164	1.5569	1.5268	2.2433
FILIP1L	4.6219	4.3021	5.3823	3.8771	7.2386	6.053	5.7122	6.2799	7.5722	7.49	5.0919	6.3971	5.7629	6.9238	5.3464
TBC1D23	5.2525	5.2602	5.3366	5.5178	3.9343	4.9086	4.9253	5.2298	5.128	5.044	5.45	5.6885	5.3924	5.4887	5.3791
NIT2	4.3053	4.5045	3.5972	5.0055	4.4874	3.3542	3.4069	3.686	2.9764	3.4642	4.6759	4.0127	3.4355	3.6911	4.0362
TOMM70	5.7645	5.6046	5.7008	5.895	5.6726	5.6393	5.6323	5.1578	5.4129	5.4271	5.5356	5.7466	5.5667	5.5861	5.6035
LNP1	1.5352	1.2754	1.2632	2.2432	3.0257	1.6649	1.4305	0	0.81833	1.8111	1.3795	1.8974	1.6088	0.70235	2.0936
TMEM45A	3.7489	3.6131	2.6783	3.2801	3.0257	3.1923	2.96	4.0464	3.3449	3.3797	4.3378	3.6093	3.0781	3.0918	3.7157
TFG	4.1253	4.2145	4.2482	3.8771	4.4874	4.1336	3.6856	3.2045	4.5558	4.2144	4.1909	4.2607	4.0664	4.4394	4.1917
ABI3BP	0.50775	1.0238	1.0706	1.8031	0	1.2368	0.64627	0.93593	1.3373	2.0483	1.8039	1.8974	1.9684	1.5268	0
SENP7	6.3685	6.3953	6.5286	6.541	6.757	6.1389	6.1164	6.0606	5.3868	5.8755	6.2499	6.3171	6.4589	5.6595	6.2422
TRMT10C	5.654	5.4384	5.2596	5.1132	6.3144	5.5419	5.3419	5.3314	5.5367	5.5089	5.1363	5.4889	5.4108	5.6415	5.4269
ENSMMUG00000017782	6.9488	6.9746	6.9263	7.0275	7.5449	7.1808	7.315	6.9143	7.175	6.8709	6.7304	6.8013	6.7895	6.9312	6.8619
ZBTB11	4.4654	4.6892	4.4063	4.2981	4.4874	4.341	4.2964	4.8275	4.1533	4.3973	4.539	4.5302	4.3822	4.8377	4.6328
RPL24	10.186	9.9355	10.071	9.9986	10.423	10.217	10.088	9.8377	10.312	9.8523	9.8456	9.461	9.8757	10.002	9.9913
CEP97	3.2383	3.5349	3.5732	3.7494	4.4874	3.4288	2.96	2.6957	2.9764	2.8625	3.2811	3.2447	3.3464	3.2899	3.1597
NXPE3	3.9786	3.7852	3.4857	3.454	0	3.3154	3.4818	3.4652	2.5758	2.8625	3.2273	3.3768	3.2017	3.3795	3.0005
NFKBIZ	6.2495	5.2406	5.3077	4.5489	7.843	8.851	9.0389	8.8175	9.4422	9.3152	6.1808	6.5587	6.3937	7.2961	6.7349
ENSMMUG00000020714	0.88257	1.4896	1.3221	2.2432	0	1.6649	0.64627	0	1.101	0	1.3795	1.6414	1.3887	1.8109	0.95138
ALCAM	2.4957	3.3462	3.0534	3.8771	3.0257	3.9175	4.3373	5.937	6.185	7.3021	4.6038	5.7385	3.6737	4.4805	3.8148
CBLB	5.9919	5.7978	6.1275	5.769	6.1787	6.761	6.9825	5.8253	6.1152	6.1421	5.9676	6.1792	6.4267	6.3778	6.2152
BBX	6.2968	6.2945	6.3684	6.0656	6.1787	6.5049	6.5755	6.5844	6.237	6.5228	6.4802	6.502	6.4659	6.7157	6.5242
CD47	3.9977	3.9019	4.5732	3.9944	3.0257	5.3148	4.9253	4.5182	6.0992	5.4686	4.7155	5.28	5.2109	5.8597	4.3975
IFT57	2.5998	2.4648	3.0182	0	0	3.4288	1.4305	2.8859	3.2896	2.4305	2.8179	2.7557	3.1145	3.8873	2.379
CIP2A	4.1934	3.744	4.1213	4.4701	4.8863	3.6	3.553	3.5798	3.3449	2.8625	3.9793	3.4585	3.9198	3.8873	3.5531
DZIP3	4.6585	4.7178	5.1541	4.2981	3.0257	4.6833	4.2109	4.4595	4.5082	4.5207	4.4941	4.0395	4.5107	3.7595	4.8352
NECTIN3	3.0673	3.2319	3.6442	3.0822	0	2.8011	2.4649	3.2045	2.5758	2.7323	2.8179	3.1979	3.331	3.5437	2.8215
PLCXD2	1.3082	1.1126	1.6325	1.1666	0	1.6649	2.1344	1.9028	2.149	2.7323	1.475	2.1147	1.1983	2.5891	1.2634
PHLDB2	5.814	5.5969	6.0534	5.769	6.0289	5.8508	5.3816	4.7803	4.6683	4.7397	4.7541	5.1133	6.1998	5.9057	5.6711
ABHD10	1.0388	1.3504	1.4856	2.2432	0	0.85923	0	1.9028	0	0	1.475	1.3301	0.97898	1.1727	1.9264
CD200	7.0487	7.1089	7.0739	7.3362	7.5449	7.8147	7.8693	7.9935	9.0447	8.7939	6.4974	6.7083	6.3562	7.1509	6.5094
ATG3	6.2655	6.1706	6.1358	6.0386	7.0178	6.3647	6.3035	6.5844	6.8326	6.2291	6.3351	6.568	6.2125	6.6542	6.502
ENSMMUG00000014236	5.3302	4.8847	5.333	5.0055	4.4874	5.5079	5.6486	5.5994	5.5718	5.4686	5.0994	5.2573	5.2235	5.4887	5.3464
CCDC80	1.7312	2.7404	2.561	3.454	3.0257	2.3421	1.4305	3.8774	2.0191	2.9818	3.8782	3.4585	3.4639	2.7321	3.4335
GTPBP8	5.0377	5.0681	4.9638	5.2134	4.4874	4.8143	5.1939	4.8732	3.9546	4.0049	5.2688	4.851	4.9439	4.9878	5.3791
NEPRO	4.1934	3.7017	4.3719	4.1029	4.8863	4.0883	3.9191	3.7849	4.8319	4.4396	2.8179	3.4977	3.93	3.6193	3.4335
CFAP44	0.88257	0.82776	1.6783	1.1666	0	0.62547	0.64627	0	0.46642	0	1.0481	1.7751	1.1983	0.70235	0.95138
SPICE1	3.0305	3.2319	3.7007	1.8031	3.9343	3.4288	2.7336	2.8859	2.0191	2.9818	3.383	3.4585	3.478	2.9816	3.2332
SIDT1	1.4262	0.71876	2.1378	1.1666	3.0257	1.394	1.7051	1.4989	0.46642	1.1728	1.1673	1.1449	2.7482	1.8109	1.7374
ENSMMUG00000038476	2.4407	2.4306	2.4063	1.1666	3.0257	2.0896	1.7051	1.9028	1.5402	0.70244	2.0092	2.7557	2.4677	2.5891	2.6172
NAA50	3.2701	2.9718	3.0534	3.2801	3.9343	3.1488	2.7336	2.8859	3.5932	2.9818	3.1132	3.1495	3.0595	3.6911	1.9264
ENSMMUG00000020740	1.3082	0.60085	1.1377	2.2432	0	0.85923	1.4305	1.4989	0.46642	1.8111	0.61723	1.7751	1.328	1.1727	1.7374
ZDHHC23	1.8201	1.6761	2.3788	1.1666	0	1.8928	1.7051	1.4989	2.9764	2.252	1.3795	0.68316	1.6088	1.1727	1.2634
CCDC191	4.072	3.7159	4.315	4.2981	3.0257	3.6	3.8071	3.9644	4.122	4.1648	3.8606	3.8706	3.9402	3.4639	3.9517
QTRTD1	3.3911	3.4002	3.7228	4.2038	0	3.3154	3.1557	3.4652	2.7496	3.0921	3.4074	2.7557	3.5985	3.5437	3.7157
ZBTB20	3.7029	3.6432	3.6209	3.454	4.4874	2.9093	3.6209	3.3407	2.9764	3.2901	3.5891	3.2447	3.7908	2.8623	3.8619
GAP43	2.1292	1.7333	2.0706	0	0	0.62547	1.7051	0.93593	0	0.70244	0.9183	0.68316	1.1289	0	1.7374
B4GALT4	2.7878	2.8987	2.0706	2.8529	3.9343	1.2368	2.1344	3.054	3.1724	3.6913	2.6643	2.4705	2.1892	2.2518	2.379
ARHGAP31	5.958	6.0436	5.8205	6.0386	5.1985	5.2024	4.9253	5.6263	5.5948	5.318	5.926	6.1364	5.9151	6.0077	5.947
TMEM39A	2.743	2.8479	2.7444	2.58	3.0257	2.4173	2.3091	3.4652	3.4989	2.8625	2.7431	2.8796	3.1674	2.9816	2.503
POGLUT1	3.6063	3.864	3.3366	3.454	0	2.6842	2.1344	2.8859	3.6381	3.1945	3.4314	3.1979	3.15	3.1942	3.8619
TIMMDC1	4.4092	4.5921	4.3719	4.3867	4.4874	4.2616	4.6611	4.2677	5.5834	4.6703	4.6556	4.3914	4.2897	4.7395	4.46
PLA1A	0.50775	0.60085	0.13753	1.1666	0	3.6632	3.8642	3.4652	5.0303	4.7054	2.5374	3.8096	2.5498	3.4639	2.0936
COX17	3.2383	3.2319	2.7658	3.6093	4.4874	3.5673	3.3279	2.8859	4.1533	4.2144	3.2273	3.4182	3.1674	3.9471	3.8619
GSK3B	6.5994	6.4792	6.4679	6.8521	5.6726	5.9364	6.0441	6.0001	5.9107	6.1292	6.1267	6.0401	6.2416	6.1546	6.2243
LRRC58	2.5487	2.7404	2.7444	2.58	0	1.8928	2.7336	2.6957	1.5402	1.8111	3.1714	3.4182	2.7011	2.8623	3.4335
FSTL1	8.1295	8.2716	7.9504	8.3428	7.369	7.4619	7.7226	7.5062	7.3405	7.3248	7.7784	7.4472	7.7187	7.5246	7.8845
NDUFB4	8.5578	8.6622	7.9742	8.628	8.3646	8.2815	8.674	8.8691	8.4616	8.6904	8.9269	9.0663	8.0494	8.5132	8.6478
HGD	0.2761	0.92909	1.2018	0	0	1.5358	1.4305	0	1.7181	1.8111	1.2773	1.1449	0.8117	1.5268	1.2634
RABL3	1.3082	1.1963	1.6325	1.1666	3.0257	1.8928	1.4305	1.4989	1.7181	2.252	1.6488	1.3301	1.8438	1.8109	1.5198
GTF2E1	2.9142	2.8735	2.6556	4.1029	0	1.8928	2.7336	2.8859	1.5402	0.70244	2.8889	2.3894	2.7938	2.7321	2.379
HCLS1	0.50775	0.71876	0.58507	0	0	2.9093	1.7051	2.8859	2.2681	2.252	2.4925	2.1147	1.8865	2.4303	1.2634
GOLGB1	7.5225	7.5267	7.7111	7.4225	6.8493	7.3511	7.1583	7.4769	7.1286	7.3417	7.6321	7.765	7.7083	7.6379	7.6329
IQCB1	4.2584	4.5843	4.0707	4.8891	4.8863	4.4163	4.1662	4.5182	4.711	4.3973	4.3999	4.1907	4.5377	4.0046	4.4903
EAF2	1.4262	1.4217	1.3221	1.1666	0	1.2368	1.091	1.4989	0.46642	2.4305	1.5645	1.6414	1.3887	1.1727	0.55273
SLC15A2	0.50775	1.4217	1.0002	1.1666	0	0.34637	0.64627	0.93593	0.81833	0	1.2773	0.38164	1.1983	0.70235	0.55273
CSTA	0	0.33148	0.37859	0	0	0.62547	1.9357	2.218	1.5402	1.1728	1.7284	1.7751	1.3887	0.70235	0.55273
CCDC58	3.8152	3.864	3.9822	4.2038	4.4874	4.2819	3.553	3.3407	4.408	4.5207	3.5458	3.6792	3.8131	4.0599	3.9517
FAM162A	4.8394	4.9221	4.9405	5.3518	4.4874	4.6985	4.978	5.0021	5.8064	5.6235	4.7823	4.5112	4.5709	4.8996	4.5199
WDR5B	1.0388	1.4217	1.6325	1.8031	0	0.85923	0.64627	0.93593	1.3373	1.8111	1.1673	1.6414	1.1289	1.1727	1.2634
KPNA1	5.8032	5.7742	5.72	5.7015	5.1985	5.968	5.981	5.9584	6.1073	6.0899	5.611	5.8103	5.7969	6.0629	5.6973
PARP9	5.672	5.4167	5.684	6.913	5.6726	6.5846	6.8043	7.0094	6.5211	6.6272	6.3319	7.1261	6.5712	6.946	6.3117
ENSMMUG00000016383	3.4756	3.5024	3.6556	4.4701	5.1985	4.0415	4.1662	4.5182	4.9789	5.406	4.3505	5.6102	4.5774	5.4887	4.2636
PARP15	4.9221	4.6452	4.8433	5.5564	5.4549	5.8508	5.9417	6.156	5.9909	6.5326	4.8988	6.2839	5.1465	6.0493	5.2074
PARP14	6.4749	6.5683	6.7377	8.4391	6.757	7.9601	7.8658	8.9217	9.3874	10.357	8.0427	10.186	8.1845	9.5731	7.5916
HSPBAP1	3.3618	3.0638	3.7973	3.0822	0	3.4997	3.7477	3.054	3.11	2.9818	2.9893	3.2447	3.7098	4.1132	3.3031
DIRC2	4.1934	4.153	4.1296	4.7625	0	3.9432	3.8071	4.5182	4.0239	4.3087	4.6658	4.6568	4.5175	4.7052	4.7626
PDIA5	2.3836	2.8479	2.6091	2.2432	0	3.8376	3.4818	3.4652	3.0447	3.8875	3.7504	4.0127	3.6113	3.3795	2.9138
SEC22A	1.6365	1.9893	2.1378	1.8031	0	1.0603	1.4305	1.4989	1.101	1.8111	1.5645	1.3301	2.0458	2.0482	1.5198
HACD2	4.818	5.1543	4.2708	5.3518	3.9343	3.3542	3.2444	2.8859	3.3449	3.7597	4.0585	4.6394	3.878	4.3085	3.8619
MYLK	7.432	7.7264	6.7711	8.0829	7.43	7.3073	8.0151	8.8029	8.1624	8.842	8.4028	8.6788	7.354	7.899	8.1302
CCDC14	4.2742	3.6131	4.2406	3.8771	5.1985	3.1488	3.553	1.9028	2.9764	2.8625	3.2811	3.3768	3.8241	4.4394	3.9517
KALRN	3.6793	4.01	3.8975	4.1029	4.4874	3.0099	2.96	2.6957	3.3449	3.3797	3.9464	3.6093	3.7216	2.8623	3.6094
UMPS	4.3358	4.4458	4.4663	3.2801	4.8863	4.3018	4.526	4.3984	4.3818	4.5207	4.0115	4.0658	4.3367	4.3085	4.2982
ITGB5	2.9142	2.8479	2.4597	2.8529	4.4874	0.62547	0	0	0.81833	1.1728	0.61723	0.93242	1.503	1.1727	1.5198
HEG1	7.3909	7.2829	7.6054	7.38	6.6584	6.5348	6.6826	7.3043	6.3082	6.7667	7.533	7.5417	7.3907	7.3525	7.2548
SLC12A8	2.4957	2.8479	2.561	3.7494	0	1.5358	1.7051	1.4989	0.46642	1.1728	1.8756	2.3894	2.0458	2.7321	0.95138
ZNF148	6.8066	6.8749	6.8595	6.8047	6.4384	6.7753	6.6905	7.0094	6.3493	6.4727	6.8263	6.9251	6.9705	6.7912	6.8326
SNX4	6.0573	6.1576	6.0271	6.0656	5.8617	5.9928	5.6966	5.871	5.8356	5.86	5.9594	5.986	5.8136	5.6773	5.9139
OSBPL11	6.3198	6.0151	5.7791	5.769	5.6726	5.5419	5.7581	6.1374	6.1466	5.9795	5.8612	5.8638	5.6341	5.9793	5.7976
SLC41A3	4.2584	4.4112	4.5913	4.3867	0	4.5392	4.526	3.8774	4.122	3.8875	4.1481	4.1171	4.3896	4.3085	4.116
KLF15	1.7312	2.0355	1.3221	2.58	3.0257	2.4888	1.4305	0	1.101	1.527	2.0092	2.3894	1.8438	1.8109	1.9264
ZXDC	2.5487	2.7404	2.561	3.0822	3.0257	1.9945	1.4305	2.4765	2.0191	1.1728	2.4461	2.4705	2.083	2.0482	2.2433
TXNRD3	1.0388	1.4217	1.6783	3.0822	3.0257	0.85923	0.64627	0	1.3373	1.8111	0.61723	1.1449	1.0559	0.70235	0.55273
CHCHD6	4.3656	3.8894	3.6896	2.8529	0	3.5339	3.4069	3.3407	2.8292	3.9474	3.9464	3.7129	3.1324	3.0918	3.8619
PLXNA1	4.2899	4.3302	4.6557	4.5489	4.8863	2.8011	3.0612	3.2045	3.6381	3.7597	3.4783	3.6447	3.5985	3.8248	3.8148
TPRA1	1.4262	1.8412	1.3221	1.8031	0	0.85923	0	1.9028	1.101	1.1728	2.0716	1.1449	1.447	1.5268	1.5198
MCM2	4.0353	3.963	3.9263	4.2038	3.9343	2.9605	3.6856	4.0464	2.6653	2.9818	3.7504	3.9291	3.421	2.8623	3.9075
PODXL2	4.8605	4.66	4.7173	4.8272	3.0257	1.7833	2.7336	3.054	1.5402	1.8111	3.7312	2.5472	3.3464	2.7321	3.3698
ABTB1	1.3082	1.6761	1.0002	1.8031	0	1.394	2.96	1.4989	0.81833	1.1728	2.0092	1.8974	2.0076	1.1727	1.5198
MGLL	6.6212	6.6222	6.144	5.895	6.8493	6.6168	7.3898	7.3615	4.7727	5.4889	7.6099	7.1753	6.8609	6.3778	7.581
KBTBD12	1.6365	1.4896	2.1702	2.2432	0	1.8928	1.091	0.93593	2.4803	0	0.23631	1.3301	1.1983	1.5268	0.55273
SEC61A1	2.9142	2.8987	2.7007	3.0822	3.9343	2.7438	2.1344	3.054	3.2896	3.0921	3.0213	3.2901	2.7011	3.2899	3.0005
RUVBL1	5.3895	5.4254	5.5081	4.6947	6.1787	4.9216	4.6285	5.0021	4.7927	4.4807	4.8009	5.0086	5.0322	5.2716	5.0333
EEFSEC	4.6342	4.6377	4.4663	4.5489	5.6726	3.7237	3.9191	3.8774	3.9546	4.1134	4.3378	4.5302	4.4117	3.9471	4.4291
GATA2	7.6185	7.5236	7.4696	7.5715	7.8872	7.5832	7.8015	7.462	6.2731	5.8443	7.3979	7.1478	7.5445	7.2132	7.4978
RPN1	7.8888	7.7194	7.8167	7.8919	7.8872	7.783	7.9735	7.556	7.6565	7.3802	7.7236	7.7263	7.8714	8.0049	7.921
ENSMMUG00000020716	2.5487	2.4981	2.293	2.58	0	2.2627	1.4305	2.8859	2.6653	2.4305	2.1314	2.6201	2.4103	2.5891	2.9138
RAB7A	5.4394	5.4639	5.0138	5.3951	5.1985	4.4703	4.4902	4.7803	4.9073	5.044	5.4906	5.3882	5.0178	4.7052	5.1326
ACAD9	3.8787	3.5509	4.0271	3.2801	4.8863	3.8647	3.4069	3.7849	3.5468	3.7597	3.8606	3.9291	3.7566	4.0046	3.5531
ENSMMUG00000006343	4.2584	4.6452	4.5113	4.1029	3.0257	4.2202	4.0724	3.3407	3.2322	3.0921	4.436	4.5112	4.4263	3.8873	4.3975
EFCC1	6.4438	6.4346	6.5192	6.1439	5.6726	6.3552	6.6176	6.5844	5.2342	5.6951	6.7134	6.3867	6.8243	6.0355	6.7723
RAB43	6.8833	6.5102	6.9036	6.5019	6.936	6.8721	6.7294	6.3623	6.1544	6.1292	6.3223	6.4923	6.8284	6.8235	6.5531
CNBP	6.2851	6.3617	5.5113	6.3561	6.1787	5.3344	5.3619	5.8483	5.4385	5.7125	6.3851	5.9652	5.6742	5.7631	6.1878
COPG1	3.448	3.6581	3.6091	2.58	3.0257	3.5339	3.553	3.054	3.6381	3.825	4.0115	4.3056	4.2575	4.1132	3.9075
HMCES	3.8787	3.8894	3.8179	4.3867	3.0257	4.241	3.9191	4.0464	3.805	3.9474	4.1188	3.9854	4.0848	3.9471	4.116
H1FX	4.1077	4.0215	3.9913	4.3867	3.0257	3.6937	3.553	4.124	3.5932	3.825	3.4783	3.4182	3.6737	3.2899	3.7157
EFCAB12	1.5352	1.1126	1.4332	1.8031	0	1.5358	0	0	0.46642	1.1728	0.61723	0.38164	1.447	0	0.55273
MBD4	5.3601	5.5814	5.4433	5.2134	5.8617	5.1034	4.6929	5.1204	4.9789	4.5596	5.4144	5.5462	5.5535	5.1996	5.2611
IFT122	2.3836	2.5626	2.2329	0	0	2.0896	1.7051	1.9028	1.3373	1.1728	2.8538	2.7557	1.7544	2.0482	2.2433
PLXND1	4.6219	4.8784	4.9024	4.8272	5.4549	3.753	3.2444	4.0464	3.3449	3.4642	4.104	3.9575	4.4969	3.5437	4.2281
TMCC1	5.6235	5.4427	5.4266	5.4371	4.4874	5.4553	5.7879	5.1942	4.8511	4.6703	5.6626	5.3242	5.4034	5.0976	5.6444
TRH	5.672	5.0792	3.6442	4.5489	6.4384	2.9093	4.1662	4.3345	2.7496	3.1945	4.363	3.1979	3.4639	3.1942	4.6861
ZFYVE20	5.315	5.5259	5.1822	5.7356	5.4549	5.0688	5.3619	5.1578	5.0303	4.988	5.4204	5.5555	5.4995	5.4057	5.4424
MRPS25	3.2056	2.8987	3.0359	1.1666	3.0257	2.9605	2.3091	3.054	2.6653	1.1728	3.0832	2.4705	2.7482	3.8873	2.9138
NR2C2	4.9519	5.0513	5.0182	5.5941	3.9343	4.9086	4.6929	5.2298	4.9435	4.6703	5.0994	5.2458	5.1639	4.9878	5.3297
ENSMMUG00000045431	7.0464	7.2029	6.7242	7.2084	7.369	6.8211	7.1236	6.9991	6.7532	6.7667	7.0636	7.1072	6.8461	7.0314	7.0515
FGD5	5.6839	5.5853	5.5207	5.7356	5.4549	5.126	4.8706	5.4567	4.1533	4.9592	6.26	5.4089	5.7885	5.0976	5.7732
CCDC174	5.7533	5.6901	5.6442	5.5178	4.8863	5.5995	5.7122	6.0407	5.8548	5.9938	5.6319	5.6542	5.7427	5.5284	5.6444
SLC6A6	3.0673	2.1237	4.3579	1.1666	3.0257	3.4288	3.4069	2.4765	1.3373	1.527	2.8179	2.819	4.4117	3.0918	3.6094
ENSMMUG00000023126	6.6335	6.5425	6.315	6.541	6.4384	6.2511	6.2827	6.3134	5.9107	5.9651	6.2296	6.1972	6.0967	6.3336	6.3117
XPC	4.818	5.0457	4.6442	4.8272	3.0257	4.3216	4.12	4.5182	3.8439	4.1648	4.6454	5.0878	4.806	4.773	5.0738
TMEM43	6.0979	5.6973	5.7843	5.3071	5.4549	5.3914	5.8739	5.8019	5.2342	5.4889	5.8831	6.0533	5.7398	5.8597	5.8914
FBLN2	1.4262	2.6836	2.7869	2.2432	0	2.0896	2.1344	1.4989	1.7181	0.70244	1.1673	0.68316	0.62245	0	0.55273
HDAC11	2.7878	3.4002	2.561	3.9944	4.8863	2.8011	2.8512	3.054	1.5402	2.8625	3.1996	2.6895	2.9019	2.0482	3.3031
NUP210	4.1934	4.3115	3.4597	4.2981	3.0257	2.0896	2.8512	3.8774	2.0191	2.4305	4.2861	4.1666	3.0024	2.7321	3.8619
IQSEC1	6.0979	6.0826	5.684	6.0656	5.4549	5.3821	5.2803	4.7316	4.0239	3.9474	4.7916	4.549	5.2276	4.8377	5.1133
ENSMMUG00000001340	9.9558	9.8317	10.101	9.746	10.438	10.068	9.7939	9.5415	10.096	9.5336	9.5437	9.0267	9.7066	9.6949	9.7126
RAF1	5.8671	5.8244	5.9475	6.0656	6.0289	5.767	5.9284	6.0001	5.7563	5.9938	5.7319	5.5922	5.7572	5.4478	5.6578
MKRN2	3.7261	3.9019	3.5363	2.8529	4.4874	3.104	3.1557	2.6957	2.9764	2.5893	3.5011	3.7459	3.6737	3.6193	3.3031
TSEN2	2.8733	2.6543	3.3649	3.2801	3.0257	2.5569	2.6055	2.6957	2.4803	2.7323	2.6232	2.6201	2.9019	2.8623	1.9264
PPARG	1.1798	0.92909	2.8483	1.1666	0	2.4173	2.1344	0	1.3373	1.1728	0.7756	0.93242	3.0024	0.70235	1.9264
ENSMMUG00000046717	3.4198	3.5187	3.0707	3.0822	0	2.6219	3.4069	3.3407	3.1724	3.9474	3.5891	3.4585	2.9019	2.2518	3.8148
TAMM41	3.3013	3.1292	3.0359	2.58	3.0257	2.3421	3.0612	2.6957	2.4803	2.4305	2.8179	2.6895	2.7011	3.3795	3.0823
VGLL4	7.0279	6.7882	6.7947	6.541	6.4384	6.7966	6.3935	6.5981	6.8082	6.5616	6.6381	6.8013	6.8284	6.8394	6.8028
ATG7	3.6063	3.9019	3.6091	4.2981	3.0257	3.3154	3.6209	3.4652	3.2322	3.3797	3.7118	4.0127	3.3617	4.0599	3.9517
HRH1	7.1422	6.9217	6.5883	7.1208	7.369	5.1592	6.1513	6.7649	5.7461	6.6454	6.8104	7.1963	5.9254	5.9503	6.7723
SEC13	5.7812	5.4849	5.5457	5.769	6.3144	5.6156	5.7122	5.5994	5.6616	5.6775	5.3017	5.2912	5.583	5.2716	5.3464
ENSMMUG00000019933	5.1788	4.9999	4.883	4.8891	5.1985	4.9216	4.978	5.0426	4.5322	4.3087	4.9495	4.7409	5.1018	4.7052	5.2074
IRAK2	2.3836	1.4217	1.5852	2.58	0	2.6842	2.7336	3.4652	4.4838	5.2719	2.1314	2.2122	1.7998	2.2518	2.2433
VHL	0.88257	1.1126	1.3221	1.1666	0	1.2368	0.64627	1.9028	0.46642	1.527	0.61723	1.4941	0.72018	0.70235	1.5198
BRK1	7.7684	7.6745	7.2829	8.0081	7.5449	7.4006	7.4975	7.2006	7.4262	7.0726	7.3764	7.1874	7.1133	7.3962	7.4524
FANCD2	1.0388	1.5545	2.0359	0	0	0.34637	1.091	0	0.46642	1.1728	1.2773	0.93242	0.89777	1.5268	0.55273
TMEM111	5.6111	5.6973	5.4499	5.5178	5.1985	5.5833	5.8026	5.4864	5.8064	5.406	5.6828	5.8181	5.5267	5.6048	5.947
PRRT3	0.88257	0.92909	0.67819	0	0	0	0	0.93593	1.3373	0.70244	2.2973	1.4941	1.1289	1.1727	1.9264
CRELD1	7.0625	7.3541	6.5065	7.4739	5.8617	6.6008	6.714	7.3126	6.5507	6.5129	7.5358	7.2914	6.7668	6.571	7.3153
IL17RC	1.1798	0.82776	0.84814	1.1666	0	0.62547	0.64627	0.93593	1.5402	1.8111	1.475	2.2122	1.5569	0	1.5198
IL17RE	2.1971	1.9416	1.8482	0	3.9343	0	0	0.93593	1.101	0	2.2441	2.2122	1.2646	0.70235	0.95138
JAGN1	5.648	5.6461	5.0664	5.769	4.4874	5.3821	5.5821	6.1186	6.0912	5.6775	5.7463	5.697	5.2483	5.5087	5.7732
RPUSD3	3.8367	3.9019	3.1046	3.8771	4.4874	3.5339	3.3279	3.054	3.1724	3.6913	3.9464	3.5359	3.2678	2.8623	3.9075
ARPC4	7.1699	7.3956	6.735	7.2205	6.8493	7.1314	7.4748	7.4088	7.0309	6.9967	7.3181	6.95	6.8461	7.0175	7.1544
TADA3	2.9928	3.4351	2.6783	2.58	3.9343	1.9945	1.9357	2.4765	1.7181	2.7323	3.3073	2.6895	2.6524	2.4303	2.2433
CAMK1	4.1934	4.4544	3.5972	4.3867	0	2.8011	3.4818	3.686	2.7496	3.1945	4.2729	4.0917	3.2185	2.7321	3.9945
OGG1	3.5554	3.2902	2.4063	3.7494	0	2.6219	2.6055	2.218	1.8765	2.0483	3.1132	3.1495	2.6524	2.5891	3.5531
BRPF1	5.0097	4.9159	5.1172	4.8272	5.6726	4.9344	5.1486	4.8275	5.0636	5.175	4.9743	5.1133	5.1639	5.1996	5.3952
MTMR14	2.0579	2.1658	2.3788	2.58	3.0257	2.7438	2.1344	2.8859	2.3781	2.0483	2.1889	1.8974	2.2882	1.8109	2.503
SETD5	5.5923	5.616	5.9096	5.8645	6.3144	5.6236	5.5301	5.4864	5.8737	6.0358	5.6727	5.8103	5.9228	5.8282	5.7608
THUMPD3	5.7533	5.4384	5.5883	5.5564	4.4874	5.41	5.3816	5.3954	4.7927	4.3087	5.0066	5.3133	5.1064	5.4684	5.0738
RAD18	2.3836	2.5307	2.4597	2.8529	0	2.3421	2.3091	2.4765	2.4803	2.9818	2.781	2.6895	2.7482	2.7321	2.379
LMCD1	6.6366	5.6756	6.9707	6.1439	6.757	6.786	6.1964	5.1578	5.2488	4.4807	4.6454	4.6039	6.3177	6.0629	5.7102
ENSMMUG00000031947	3.5554	3.271	3.4985	2.8529	4.8863	2.9605	2.6055	3.2045	3.2896	2.8625	3.1996	3.1495	3.3617	3.8873	3.0823
ARL8B	5.7977	5.7536	5.6355	6.011	5.4549	5.5995	6.0192	5.8483	5.9822	6.0079	5.4382	5.8103	5.6341	5.6415	5.88
