	AT1_Progenitor_Ctrl	Differentiating_AT2_Ctrl	AT2_Progenitor_Ctrl	AT1_AT2_Ctrl	AT1_Ctrl	Differentiating_AT1_Ctrl	AT2_Ctrl	Differentiating_AT1_LPS	AT2_LPS	Differentiating_AT2_LPS	AT1_LPS	AT2_Progenitor_LPS	AT1_AT2_LPS	AT1_Progenitor_LPS	AT2_Combo	AT1_Combo	Differentiating_AT1_Combo	AT1_Progenitor_Combo	Differentiating_AT2_Combo	AT1_AT2_Combo	AT2_Progenitor_Combo
RASA2	3.8644	4.2016	4.059	3.3656	3.5951	4.2342	3.2554	4.0074	2.742	4.6804	3.1216	3.3982	3.1908	2.4938	3.4911	3.9606	4.6103	3.6043	3.8818	3.7048	3.9968
ZBTB38	6.3037	5.2957	5.8691	6.1656	6.4831	5.9696	5.9205	4.5821	4.9278	4.2692	5.0245	3.8023	4.7151	3.897	5.29	6.0348	6.014	5.0042	5.5108	5.6238	4.9052
PXYLP1	2.9602	0	2.4533	1.1536	1.0762	1.1193	2.2813	0	1.3128	0.8439	0.79382	1.6064	1.0118	0	1.3302	0.20584	0.53942	1.3755	1.4931	0.69367	0.56826
ENSMMUG00000022153	4.5262	4.8499	5.3146	5.1807	4.9816	5.0999	5.3955	4.3697	4.4612	3.778	4.246	3.8711	4.281	4.2876	4.6621	5.2522	4.9577	5.1079	4.9211	5.159	4.8091
CLSTN2	0	0	0	0.31607	0.7356	0.55477	0	0	1.943	1.3728	0	0.74987	0.78743	0	0.77621	0	0	0	1.0265	0	0.78585
NMNAT3	2.6056	1.852	3.2028	3.0614	2.4997	1.9312	3.1696	1.2088	2.0759	1.759	1.6785	2.5289	1.6681	3.897	2.2721	2.705	1.2389	2.318	1.6202	2.5702	2.1307
RBP1	2.9602	2.6369	3.4195	2.2247	2.185	2.4476	3.3364	2.3029	3.2902	2.3145	2.8552	3.1984	3.1442	3.897	2.8727	3.5527	2.8166	4.6845	2.8525	3.315	3.2764
COPB2	6.1399	5.6607	5.8128	6.1705	6.2382	5.6372	6.5063	5.4471	7.3458	6.1325	6.3716	6.039	6.9438	7.2656	7.1553	6.2183	5.7959	6.2316	6.3557	6.676	6.1099
MRPS22	5.2593	3.9809	3.7744	4.5716	5.1168	4.5836	4.6905	4.3232	5.7892	4.4894	5.7001	5.5232	5.6544	5.4159	5.6359	5.2463	4.4299	5.4348	4.4595	5.4564	5.2544
PIK3CB	3.482	4.3929	3.7744	3.78	3.8603	4.2871	3.9131	3.6027	3.94	4.3275	3.4946	3.654	3.7061	3.3597	3.9055	3.7629	3.969	3.5064	4.8188	4.1178	3.9748
FAIM	5.194	4.9345	5.4439	5.5931	5.7896	5.2673	5.4511	3.8192	4.3431	4.0093	4.9059	4.3763	4.699	5.063	4.8297	5.2695	4.5181	5.1079	3.6332	5.1776	4.5513
CEP70	5.6967	6.0307	5.9055	5.7057	6.1328	5.9146	5.79	5.2121	4.7403	5.07	4.6134	4.6356	4.555	4.2876	5.3915	5.1184	5.5575	5.0396	5.738	5.1082	5.2544
ESYT3	2.6056	2.8257	1.9944	2.6755	3.4563	3.53	2.5763	1.8572	1.3829	2.0634	1.6785	1.2408	1.7943	0	2.0103	2.5246	2.9636	2.0666	3.2167	2.1859	2.4181
ENSMMUG00000041198	2.9602	0	1.3174	1.4407	2.7098	2.3842	1.0726	2.787	2.6596	1.759	1.9762	1.8978	2.5697	3.3597	1.6498	2.3619	1.7732	2.5319	1.0265	1.7947	0.78585
ARMC8	3.482	5.2957	4.3504	4.6859	4.4634	4.9977	4.4568	4.542	4.1354	4.3835	4.7573	4.6746	4.6414	3.897	4.227	4.4899	4.3888	3.782	4.4595	4.3755	4.1221
DBR1	4.5262	3.8124	3.6935	4.4636	4.1756	4.4661	3.7747	3.9474	3.4125	3.8593	3.9011	3.5736	3.9288	3.3597	3.8079	4.22	4.0891	3.2883	3.5073	3.9834	3.5682
DZIP1L	1.4306	0.90301	1.9944	2.3685	2.6086	2.6225	1.9099	2.9179	1.4498	0.8439	1.835	1.8978	1.377	0	1.4289	2.1289	2.5072	1.3755	2.745	1.9177	2.0489
CLDN18	7.247	5.2957	5.3677	7.0974	8.001	6.6295	5.5563	4.8678	4.8495	3.8593	6.2655	4.3281	5.3905	4.2876	5.209	7.5075	6.3362	6.4447	4.3898	6.414	5.0061
ENSMMUG00000047344	2.9602	2.4195	3.0808	2.2247	2.3192	1.637	2.3609	2.0972	3.1959	3.0275	1.5029	3.1984	2.7043	3.3597	3.1145	2.4856	2.6872	3.2883	2.8525	2.6433	2.9557
STAG1	2.6056	3.8991	3.0808	2.4992	3.0169	3.088	3.2554	3.3478	2.236	3.2845	2.2229	2.9665	2.165	0	2.5386	2.705	3.3532	2.0666	3.4399	2.2806	2.8631
ENSMMUG00000045385	4.0232	4.7131	4.4022	4.4313	4.4634	4.2697	3.9903	3.3478	3.8188	3.1617	4.5242	3.654	4.2593	2.4938	3.7229	4.0568	3.9266	3.4015	4.1994	4.0113	3.8834
PCCB	2.9602	1.852	1.6952	2.7298	3.1669	2.1754	2.8212	2.4829	3.3957	1.759	3.1811	2.69	3.6737	3.3597	3.3343	3.3288	2.6179	2.7183	2.3641	3.315	2.8631
MSL2	3.6858	3.6217	4.059	3.5876	3.6724	3.6152	3.7747	3.038	3.2902	3.3976	3.6711	3.8023	3.5892	2.4938	3.7613	4.0299	3.9828	3.6959	3.749	4.0251	3.9299
PPP2R3A	4.814	5.2957	5.1116	5.1807	5.0313	5.2045	4.8369	4.8998	4.0192	4.3835	4.5695	3.8711	4.3748	3.897	4.4074	4.971	5.4766	4.0133	5.0844	4.7594	4.4907
ENSMMUG00000031508	5.5992	4.8058	5.3935	5.8413	5.7002	5.0497	5.8533	4.1205	5.7433	4.3835	5.7985	5.2917	5.6914	6.2312	5.9526	5.9152	4.9716	6.0175	4.9577	6.0574	5.5942
CEP63	4.5262	3.8124	3.9237	4.5416	4.0265	4.3382	3.8034	4.8015	3.7673	3.2845	4.0036	3.8023	3.69	3.3597	4.2339	4.4601	4.0633	3.1655	4.4764	4.1805	3.9068
ANAPC13	6.1048	5.1263	5.7542	5.5784	5.3226	5.2585	5.5648	5.0785	5.5087	5	5.6483	5.4798	5.5102	5.4159	5.9168	6.2213	5.5388	6.3062	5.6289	6.3252	6.2027
AMOTL2	4.8984	3.6217	3.5167	5.2192	5.4885	5.3106	3.8865	4.0651	3.7803	2.7146	4.5695	2.8349	4.4912	3.3597	3.468	5.2405	4.9716	4.4935	2.9525	4.3647	3.125
RYK	6.1742	5.8683	5.9233	5.931	5.8295	5.7795	6.184	5.7926	5.5048	5.8034	6.098	5.3166	5.8304	5.4159	5.6641	5.84	5.792	5.2953	5.5671	5.7574	5.3169
SLCO2A1	2.1346	3.2779	2.242	2.0649	1.0762	1.1193	2.508	1.5692	2.1976	2.3145	1.9762	2.5289	1.7943	0	1.9113	1.4259	2.1127	3.0313	2.6289	2.0845	1.7713
RAB6B	2.1346	0	1.3174	0.98531	1.3516	0.30389	1.0726	1.5692	0.45531	0	1.835	0	0.36782	2.4938	0.77621	1.2511	1.4924	1.762	0.60269	0.82516	0.78585
SRPRB	2.1346	1.4541	2.6375	2.2247	2.185	1.5239	2.7039	3.038	5.0187	4.4894	3.4468	4.6356	4.7698	4.5947	4.5785	2.4856	2.0081	3.0313	3.8036	3.7385	4.0608
TF	2.9602	3.9809	3.6078	3.2215	0.91593	0.76842	4.6275	3.3478	7.1486	6.716	4.852	5.5232	6.1583	3.3597	6.5214	4.2782	3.4561	4.2733	5.6735	5.5686	5.1986
ENSMMUG00000043687	0	1.852	1.6952	1.3043	1.7819	1.8396	1.4086	0	0.69462	1.3728	0.45083	0	0.90396	0	1.4289	0.69012	1.2389	0	1.4931	1.0569	0.78585
TOPBP1	4.814	5.4472	4.7609	5.4224	5.5444	5.644	5.2462	5.0785	5.0242	4.9265	5.5501	4.821	5.2323	5.063	5.0551	5.4873	5.6774	5.1079	5.4088	5.214	5.0383
CDV3	7.058	5.5579	6.3501	6.8534	7.2071	6.3137	6.4574	6.4737	7.1611	6.7377	7.2352	7.0579	7.2466	7.5415	6.7234	6.4786	5.9378	6.7312	6.1286	6.6672	6.3887
TMEM108	0	1.4541	0	1.1536	0.7356	0.76842	2.1075	0	0.31891	0.8439	0	0	0.36782	0	1.3302	0.54603	0.53942	1.762	0.60269	1.1601	0.78585
NPHP3	4.7243	4.8499	4.8754	4.0167	4.2615	4.731	3.8865	4.1205	4.0192	3.9362	3.8284	3.3018	4.2483	0	4.4433	4.3341	5.1724	4.6845	4.9697	4.2169	4.5513
UBA5	4.9782	4.2016	4.3504	4.9601	4.7516	4.6253	4.9698	5.3576	6.8131	6.116	5.4925	5.9304	6.2899	6.7489	6.385	4.7504	4.45	5.0741	5.5271	5.6283	5.4343
ACKR4	2.9602	2.9927	1.9944	1.3043	1.4717	1.5239	1.2503	3.6027	3.1159	3.6919	3.2934	3.5736	3.3838	2.4938	2.5163	2.9249	2.7207	2.5319	2.8525	2.234	2.3514
DNAJC13	2.9602	4.5077	4.1222	3.2589	2.8932	3.9576	2.9809	4.621	3.9631	4.8491	3.7907	3.8023	3.901	3.3597	4.2201	4.0026	4.4095	4.0828	5.0051	3.6526	3.8596
ACPP	0	2.6369	1.9944	1.7863	0.28889	0	2.9809	2.3029	3.5253	3.6919	2.6172	1.8978	2.941	0	3.5361	1.4259	0.93114	0.84579	3.1759	2.8735	2.2815
CPNE4	0	0	0	1.4407	1.0762	0.76842	0	1.5692	1.4498	0	2.332	0.74987	1.9649	0	1.3804	1.2511	1.6396	0.84579	1.0265	1.5881	0
MRPL3	4.8984	2.4195	4.1222	3.8551	4.0843	3.6694	3.8593	2.643	3.556	2.3145	2.9266	3.3018	3.4428	4.5947	3.8708	3.4552	3.4561	3.5064	3.295	3.4637	3.8108
NUDT16	6.8405	4.5077	5.7341	5.9877	6.1952	4.9548	6.0342	5.3805	6.863	5.3201	6.9357	6.55	6.9267	7.3084	6.6549	6.7493	5.5008	6.6303	5.2703	6.676	6.489
NEK11	2.9602	3.6217	3.4195	2.7821	2.9768	2.827	3.2131	2.0972	2.447	2.7146	2.2229	2.1402	2.4597	3.897	2.7055	3.2143	3.4361	2.8832	2.6881	2.6786	3.0845
ATP2C1	3.482	3.6217	4.059	3.7276	3.7927	3.9576	3.4131	3.8192	4.2145	4.5881	3.5408	3.9368	3.9695	3.3597	4.0828	3.6616	3.9266	4.3316	4.4076	3.523	3.7858
ASTE1	3.2445	0	1.9944	1.9779	2.0369	2.1754	1.9099	1.2088	1.943	0	1.6785	1.8978	2.211	3.3597	1.8767	2.3619	2.1127	2.5319	2.1278	2.2806	1.5514
PIK3R4	2.6056	3.8991	3.0808	2.6755	2.9768	3.3426	2.5763	3.8192	2.8937	3.6919	3.2383	2.3476	2.7977	2.4938	2.7634	2.5625	3.3743	2.5319	3.7766	2.8428	3.2027
COL6A5	2.6056	3.4018	0	1.6801	2.9768	2.7284	1.5512	1.5692	0.89983	1.3728	0.79382	0.74987	0.1956	2.4938	1.3302	1.0521	2.6179	4.4935	2.8525	1.0569	2.4181
CAPN7	4.6286	5.5579	5.048	5.0482	4.8766	5.2137	5.3572	4.8015	4.3431	5.07	4.6974	4.9217	4.7071	4.5947	5.1487	4.971	5.1603	4.7286	5.6137	4.8853	5.1306
SH3BP5	7.0763	5.1263	4.4523	3.1437	4.2277	4.8055	3.521	3.8192	2.38	4.4374	3.1216	3.3982	2.211	2.4938	3.347	3.3934	4.5276	6.2007	4.9334	2.9035	4.1221
METTL6	3.482	3.7202	3.2028	3.1437	3.5951	3.5004	3.5553	2.3029	3.1763	2.8795	2.9266	2.9665	3.1677	4.2876	3.1145	3.1903	3.097	3.5064	3.3326	3.3372	3.0845
EAF1	2.1346	0.90301	0.80414	1.8853	1.5827	1.5239	0.86976	1.5692	0.80087	2.7146	1.0707	1.2408	1.1121	0	1.6082	1.2511	1.8954	0.84579	1.3537	1.5881	0.78585
HACL1	3.8644	2.8257	3.6935	3.7006	3.6973	2.4476	3.8593	1.8572	3.1763	0.8439	2.9945	2.3476	3.1908	0	3.7033	4.0961	2.8772	3.782	2.2896	3.7217	2.7118
BTD	4.4159	4.4515	4.6366	5.3111	5.4525	4.6659	4.6593	3.2517	3.9516	2.5284	4.3007	2.9665	4.0476	3.897	4.5404	5.2866	4.3358	4.2125	3.6027	4.9871	3.8108
ANKRD28	4.1663	5.1263	4.8382	4.6155	4.5342	4.7437	4.324	4.8015	4.6579	4.7245	4.547	4.3281	4.8519	2.4938	4.0599	4.5478	4.5086	3.9402	4.6049	4.4282	4.2738
DPH3	2.6056	3.7202	3.3152	4.3813	4.2106	3.5589	4.721	3.8192	5.1094	3.0275	4.852	4.3763	5.158	5.5646	4.6672	4.2895	3.6422	3.0313	3.8818	4.264	4.2557
OXNAD1	2.1346	3.2779	2.4533	3.1032	2.8932	2.7786	2.8212	2.787	4.4285	4.5396	3.5408	3.8023	4.0348	5.063	3.7987	3.037	3.1955	3.5064	3.9799	3.0451	3.1643
RFTN1	2.9602	0	1.6952	0.57519	0.52947	1.2671	0.86976	0	1.1615	2.0634	0.45083	0.74987	0.90396	2.4938	1.2781	0.20584	0.38102	1.762	1.1994	0.38813	0.78585
TBC1D5	5.5992	5.3273	5.1116	5.5635	5.4004	5.2673	5.3765	4.8015	4.7336	4.6804	5.0724	4.0598	4.9296	4.5947	4.5623	5.2169	5.2885	5.2657	4.9934	5.008	4.8817
ENSMMUG00000019009	1.4306	2.4195	2.9477	2.5604	2.3192	2.5083	2.197	1.2088	1.1615	2.0634	1.0707	1.6064	1.7326	0	1.4759	2.0774	2.3014	0.84579	1.9456	1.2565	2.1307
ZNF385D	0	0.90301	0	0.98531	1.6857	1.8396	1.0726	1.8572	0.69462	0	1.9762	0.74987	2.0685	0	1.1097	1.4259	1.1434	2.5319	1.4931	1.1601	1.6655
SGO1	0	1.4541	0.80414	0.31607	0.7356	0.76842	0.35139	1.2088	0.99243	1.759	1.0707	0.74987	0.90396	0	0.23653	0.69012	0.812	0	1.3537	0.69367	1.142
KAT2B	4.0232	2.1635	2.242	2.4353	2.7579	3.0476	1.0726	1.2088	0.69462	0	1.5029	0.74987	1.1121	0	1.805	2.8034	2.9913	2.0666	2.3641	1.7291	1.5514
RAB5A	4.5262	4.2682	4.5927	4.3295	4.4634	4.1792	4.4568	4.0651	4.4034	4.3275	4.7376	4.5117	4.1455	5.063	4.816	4.9135	4.8022	4.9307	4.7087	4.6572	4.9621
KCNH8	0	0.90301	0	0.79477	0.28889	0.76842	0.35139	0.7275	0.89983	1.3728	0.79382	1.8978	0.66065	0	0.91899	0.54603	0.38102	0	1.8451	0.69367	0.78585
UBE2E2	2.1346	2.4195	2.4533	2.6755	2.8495	3.0476	2.3609	3.038	1.847	2.3145	2.6172	2.69	2.2556	0	2.2721	2.3182	3.0451	2.318	3.2564	2.4531	2.764
UBE2E1	1.4306	2.1635	2.242	1.8853	1.7819	1.7419	2.197	0.7275	1.847	1.3728	1.6785	1.2408	1.7943	2.4938	2.3748	2.2267	1.8356	2.0666	1.8451	1.8575	1.9621
NKIRAS1	1.4306	0	2.6375	1.9779	1.4717	1.2671	2.0121	0	0.89983	0	1.5029	0	1.1121	2.4938	1.2781	1.9685	1.4924	2.5319	1.0265	1.4318	1.9621
ENSMMUG00000006353	8.1332	7.5879	8.9467	9.0467	7.9214	8.4145	9.163	7.4548	9.637	7.6187	9.3961	9.3182	9.7367	10.108	9.0797	8.2797	7.0513	8.9216	6.8944	8.338	8.2464
NR1D2	4.0232	4.5077	4.5474	4.8541	4.3891	4.6792	4.7655	3.9474	2.9176	2.5284	3.9011	2.9665	3.3838	2.4938	3.7229	5.0059	4.3784	3.0313	3.8562	4.6394	4.0608
THRB	0	2.4195	2.6375	1.3043	1.6857	1.5239	1.5512	1.5692	0.99243	0.8439	1.3029	0	1.2059	0	1.1681	0.82112	1.3284	1.762	1.8451	0.82516	0.97488
RARB	3.8644	3.9809	3.6935	4.3981	5.2061	4.6253	3.9903	3.4378	2.3098	2.7146	3.1216	3.1984	2.7361	0	2.7055	4.9353	4.4197	4.1491	3.5073	3.7048	3.5083
TOP2B	6.7971	6.3092	6.1824	6.1656	6.1821	6.3843	6.3147	5.7046	5.7433	5.6057	5.7985	5.4121	5.974	5.2502	5.8291	5.9763	6.1736	5.7869	6.0517	5.9748	5.4582
NGLY1	4.8984	4.9749	4.5474	4.9487	4.7868	4.5551	5.1031	4.621	5.2044	4.0788	4.6768	4.468	5.2378	5.063	5.3031	5.0059	4.6542	4.8128	4.7921	5.0354	4.7456
OXSM	4.1663	3.6217	4.2408	4.6859	4.691	4.1978	4.4014	3.6785	4.4202	4.2085	4.656	4.2267	4.3545	4.5947	4.8565	4.7668	3.7596	3.9402	4.0938	4.5567	4.2917
SLC4A7	2.9602	3.2779	2.8009	3.1831	3.3662	3.3756	2.3609	3.8847	3.4456	3.5025	2.9945	3.0871	3.6236	0	2.8372	2.9537	3.2191	3.2883	3.474	3.1239	2.6014
CMC1	5.9151	3.8124	5.5162	5.6853	5.4378	4.5261	5.5134	4.3697	5.6218	3.6919	5.6899	5.5444	5.454	6.0412	5.8976	5.8706	4.7546	5.9068	4.832	6.0133	6.0586
AZI2	5.3218	5.0526	5.2311	5.3288	5.2738	4.7053	5.4328	4.7672	5.424	5	5.134	4.9217	5.533	5.063	5.4515	5.401	4.8408	4.8924	5.2703	5.4915	5.3169
RBMS3	5.3218	5.9107	5.3935	5.8718	5.9637	6.033	5.4143	6.6347	5.6576	6.4536	6.4584	6.0832	6.3059	4.2876	5.4426	6.2064	6.363	5.828	6.1286	6.0904	5.7768
PDCD6IP	7.0763	7.1133	7.064	7.5252	7.6963	7.5804	6.8919	6.8051	6.3666	6.53	6.9007	6.0832	6.7705	6.2312	6.4334	7.1584	7.159	6.6186	6.4656	6.8901	6.3336
CLASP2	4.1663	4.5619	4.4022	4.2009	3.7217	4.1221	3.8317	4.1205	2.7684	4.0093	2.6172	3.3982	3.2798	2.4938	3.468	3.811	4.1271	3.782	4.1581	3.5035	4.0398
UBP1	3.8644	3.6217	4.1222	3.3309	3.5684	3.772	3.521	4.2751	3.1564	3.6003	3.3464	3.5736	2.7672	0	3.5138	4.1961	4.0891	3.782	3.7766	3.7048	3.6258
FBXL2	4.2965	2.9927	1.9944	3.78	4.5203	3.747	2.5763	3.038	1.3829	0	2.701	1.2408	2.2556	0	1.5655	3.4349	3.3952	2.5319	1.8451	2.5323	2.0489
CRTAP	3.482	2.9927	2.8009	2.9742	3.2364	3.0061	2.2813	1.5692	1.3128	2.3145	1.3029	0	0.78743	2.4938	2.0419	2.2732	2.345	2.5319	1.8451	1.9755	1.6655
GLB1	4.0232	4.2682	3.993	5.3549	5.9891	5.1861	4.878	4.2751	4.7065	4.0788	5.134	3.3982	4.7151	3.897	4.6365	5.3692	4.6629	4.0828	4.0493	5.0354	3.9068
TMPPE	0	1.4541	0	1.4407	0.91593	1.637	0.86976	1.2088	0.31891	0.8439	0.45083	0.74987	0	0	1.1097	1.155	1.1434	0.84579	1.0265	0.38813	0.31193
CNOT10	4.4159	4.6644	4.059	3.9496	4.103	4.2697	4.2423	4.4147	3.6154	4.0788	3.9011	3.5736	4.022	4.8478	4.0828	4.0299	4.499	4.4935	4.6798	4.0113	3.9525
ENSMMUG00000031441	0	2.6369	0	1.3043	1.0762	2.7284	1.0726	1.2088	1.5749	2.5284	1.6785	2.8349	1.5299	0	1.1097	1.7881	2.0613	0.84579	2.5026	1.6603	1.6655
DYNC1LI1	5.5478	4.7602	5.0151	4.9938	4.6147	4.6792	5.4049	4.2254	5.1898	4.4374	4.9408	4.1176	4.9018	5.4159	6.0035	5.0992	4.7546	5.6332	5.2991	5.2496	5.1891
ENSMMUG00000001443	6.2724	6.0686	5.6293	6.533	6.4433	5.684	6.5323	5.2867	6.6539	5.7827	6.5403	5.4121	6.5242	5.4159	6.8368	6.658	5.4766	6.0868	5.5513	6.6997	5.8206
CMTM7	3.482	3.1424	3.2028	2.7821	2.2536	2.0172	4.0395	2.0972	4.6293	3.6003	3.9011	3.8711	4.2917	3.897	4.9258	3.1157	2.3014	3.6959	3.7209	4.0251	4.0398
CMTM8	6.3937	4.4515	5.4925	5.4388	5.3146	4.0626	5.8533	4.3697	6.1246	4.9265	5.6271	5.5444	5.7779	5.4159	6.2897	5.4372	4.5276	5.6562	5.0844	5.853	5.8206
GPD1L	6.4225	5.6357	6.0424	6.6074	6.2039	5.2761	6.8511	4.4584	5.9537	4.6804	5.9258	4.6746	5.9196	5.063	6.3696	6.3188	5.1845	6.1367	5.3273	6.4035	5.6368
OSBPL10	3.2445	4.3929	3.851	3.6452	3.6973	3.7216	3.5553	3.1488	3.2718	3.8593	3.629	3.9996	3.1203	3.3597	4.1422	3.3066	3.4953	2.7183	4.6049	3.6876	4.1221
STT3B	6.7971	6.2609	5.8691	6.6677	7.097	6.6019	5.9785	6.0569	6.5105	6.3164	6.6759	5.5653	6.5668	4.8478	6.0662	6.4586	6.3199	5.7231	5.9525	6.3056	5.6714
TGFBR2	6.3643	6.3249	6.2826	6.1206	6.3794	6.2306	5.8602	4.8678	4.6436	5.07	5.2217	4.9852	4.7698	4.2876	5.202	6.3104	6.309	5.828	5.724	5.8797	5.6227
ENSMMUG00000016823	4.0232	4.6644	3.851	3.8305	3.9664	4.3548	3.6214	5.0213	3.556	4.5881	3.9702	4.2267	3.4428	0	3.956	4.0434	4.8484	3.6959	4.9456	3.955	4.1221
BCL6	2.6056	5.4757	4.7609	4.6721	2.5552	3.088	5.1146	6.6907	6.0538	6.6717	6.1057	6.3232	6.4422	5.936	5.4397	5.0059	5.2316	4.3876	6.2218	5.214	5.5428
RTP4	1.4306	1.852	1.3174	1.4407	0.7356	0.95448	2.197	0.7275	2.3454	0	2.2229	2.5289	2.3815	2.4938	2.103	2.3619	1.4127	1.762	0.33259	2.7465	1.5514
RPL39L	0	1.4541	1.3174	1.4407	0.52947	0	1.6809	0.7275	2.3454	1.759	0	1.6064	1.1121	0	2.3748	0	0.20305	2.7183	0.83011	1.0569	2.2815
ST6GAL1	2.6056	2.1635	2.6375	2.0649	2.1129	2.3842	2.9809	2.9179	3.4456	3.2845	2.332	2.5289	2.2988	2.4938	4.0521	2.705	2.6179	3.0313	3.5398	3.1492	3.4773
RFC4	2.1346	2.8257	2.4533	3.5579	3.3968	2.7786	3.7453	2.3029	3.0091	2.3145	3.1216	1.8978	2.9945	0	3.4208	2.9537	2.5072	3.2883	2.5671	3.3372	2.6577
EIF4A2	8.9838	7.9239	8.4209	8.7971	8.7739	7.888	9.046	8.0726	8.4762	7.9462	8.686	8.2201	8.5284	8.691	8.6179	8.5841	7.6871	8.3985	8.1144	8.5672	8.1479
SNORA4.2	0	0.90301	0.80414	1.1536	0.52947	1.4012	0.63373	0.7275	0.45531	0.8439	1.0707	0.74987	0	0	0.69915	0.82112	1.5679	0	1.3537	0.94567	1.142
SNORA63.6	1.4306	1.852	2.242	1.3043	1.0762	1.7419	1.8	1.2088	0.69462	1.3728	0.45083	0.74987	0.52165	0	0.9854	0.69012	1.8954	0	2.5026	1.0569	1.5514
STAC	0	1.852	0.80414	0.79477	0.7356	0.30389	0.86976	1.2088	0.99243	1.759	0.79382	1.6064	0.78743	0	0.34169	0.54603	0.68214	0.84579	1.6202	1.0569	0.78585
TPRG1	1.4306	1.4541	0.80414	0.98531	0.28889	0.55477	1.0726	1.2088	0.31891	0	0	0	0.78743	0	1.6902	0.9412	0.93114	1.3755	1.6202	1.5121	1.9621
P3H2	4.5262	6.7894	6.1063	5.8352	5.2319	5.2761	6.6199	4.8678	7.1013	6.0133	5.76	5.5653	6.492	4.8478	7.7	6.0516	5.8798	5.4079	7.293	6.5698	6.6258
ENSMMUG00000039494	0	0.90301	0	0.57519	0.7356	0.30389	0.86976	0	1.3128	0.8439	0.79382	1.6064	0.78743	0	1.1097	0.54603	1.3284	0	1.737	0.20708	1.2917
CLDN1	1.4306	0	0.80414	0.57519	0.7356	0	1.2503	1.5692	4.5928	4.5396	2.701	3.3018	4.3647	3.3597	2.9906	0.69012	0.93114	1.3755	2.0396	2.1361	1.2917
IL1RAP	2.1346	1.4541	1.9944	0.57519	1.2204	0.76842	1.9099	2.787	2.715	3.6919	2.4335	2.8349	2.3815	0	2.1326	1.506	1.7079	1.3755	3.0461	2.1361	2.3514
CCDC50	6.7064	5.7567	5.774	6.7055	7.484	7.2831	5.9073	6.4843	4.5928	5.0354	5.9083	4.9852	5.303	5.5646	5.0317	7.0305	7.2873	6.2162	5.4607	6.1914	5.3768
FGF12	2.9602	1.4541	0	2.0649	3.3027	2.5083	0	0.7275	0.45531	0	0.79382	1.2408	0.66065	0	0.61774	2.2267	1.8954	0.84579	0	1.7291	0.78585
MB21D2	0	1.852	0.80414	0.57519	0.7356	1.2671	1.2503	0.7275	0.45531	0	0.45083	1.2408	0.66065	0	0.34169	0.82112	0.93114	0	0.33259	0.82516	0.78585
Metazoa-SRP.114	0	1.852	1.3174	1.3043	0.7356	1.7419	1.9099	1.8572	1.69	0.8439	2.1048	2.1402	1.9649	0	1.6902	1.3412	1.6396	0.84579	1.8451	1.3468	1.5514
MAP1LC3B	6.0319	4.6644	5.1116	5.6293	5.7486	4.7437	6.1619	4.4147	5.473	4.3275	5.5836	5.5232	5.4201	5.4159	5.9421	5.9005	5.1169	5.6332	4.8836	5.9642	5.7704
ATP13A4	4.4159	5.7333	5.0802	5.3021	5.2738	6.1802	4.7655	5.8429	3.8439	4.4374	4.9916	4.2783	4.6909	4.2876	3.8531	5.4372	6.3254	4.0828	4.7648	4.5377	4.1221
OPA1	4.4159	5.2303	4.8001	4.9487	4.7752	4.9977	5.0074	5.1601	5.1248	5.3201	5.2358	4.821	5.158	4.8478	4.9088	4.5383	5.0461	4.4415	5.3273	4.6033	4.9509
HES1	9.5119	9.7578	9.5989	9.7951	9.8268	10.028	9.2771	8.5675	8.6005	9.1267	9.0676	9.1792	8.8206	9.0725	9.1617	10.177	10.124	9.5909	10.025	9.8919	9.876
ATP13A3	4.9782	5.0899	4.7609	4.6859	4.3582	4.8175	4.5447	6.0711	5.7232	6.3589	5.9939	6.154	6.0391	5.6993	4.765	4.9851	5.2829	4.5922	5.2991	5.0011	4.7456
LSG1	4.7243	4.7131	4.6366	5.0375	5.2319	4.9328	5.2144	4.8998	5.0886	4.6804	4.9916	3.9996	5.0098	3.897	5.0474	4.5943	4.6885	4.6391	4.8055	5.0623	4.2738
XXYLT1	2.6056	2.4195	2.4533	2.3685	2.1129	1.8396	2.4363	2.0972	1.6336	2.7146	1.9762	1.2408	1.4554	0	1.978	1.9109	1.6396	2.0666	2.211	1.7291	2.0489
ENSMMUG00000038728	0	0.90301	0	0	0.52947	0.30389	0.86976	1.5692	0.31891	1.3728	0.45083	0.74987	1.2059	2.4938	0.61774	0.54603	0.38102	0	0.60269	1.2565	0.56826
ACAP2	5.1256	4.6644	4.9814	4.8903	4.691	4.8531	4.7655	4.6959	4.4531	4.9265	4.5242	4.5955	4.5638	5.5646	5.0667	4.6658	5.0593	4.8924	5.0396	4.9801	4.9843
ENSMMUG00000019396	5.4392	4.3319	3.7744	4.4475	4.5479	4.1792	4.6113	2.643	4.271	3.8593	3.9702	3.9368	4.2261	4.2876	4.7315	4.1218	4.1019	4.5437	4.0265	4.5472	4.4274
U6atac.8	0	0.90301	1.6952	0.98531	1.0762	1.1193	0.86976	0	0.99243	2.3145	1.3029	1.8978	1.1121	0	1.3302	0.9412	1.2389	0.84579	1.6202	1.1601	0.56826
APOD	6.9826	4.5077	4.1827	3.3995	4.1215	4.5836	3.7453	3.1488	2.236	3.0275	2.7802	2.9665	1.7943	4.2876	3.2691	3.141	4.4299	5.8481	4.4424	2.234	3.8834
